,poster_image,title,year,rating
0,"https://m.media-amazon.com/images/M/MV5BN2M5YWFjN2YtYzU2YS00NzBlLTgwZWUtYWQzNWFhNDkyYjg3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Мандалорець,2019,8.7
1,"https://m.media-amazon.com/images/M/MV5BOTNjOGVkYTctYjE1ZS00MTBhLTlkOTAtMGUzODZlNjAxMGM3XkEyXkFqcGdeQXVyNDk3MzMwMTI@._V1_UY67_CR0,0,45,67_AL_.jpg",Сварка,2023,8.2
2,"https://m.media-amazon.com/images/M/MV5BZTY0YjU0NTUtMGRmNS00NDMyLWI2MzYtNjM2MmM1M2FkMjkyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UY67_CR0,0,45,67_AL_.jpg",Правонаступництво,2018,8.8
3,"https://m.media-amazon.com/images/M/MV5BODgzYmFkZjAtYjhmNC00NDdkLTk4NGYtNDdiODVlNmE3ODkyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY67_CR0,0,45,67_AL_.jpg",Нічний агент,2023,7.6
4,"https://m.media-amazon.com/images/M/MV5BMTdmZjBjZjQtY2JiNS00Y2ZlLTg2NzgtMjUzMGY2OTVmOWJiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Тед Лассо,2020,8.8
5,"https://m.media-amazon.com/images/M/MV5BZDQxMjg4MWUtZGUyNS00NTMzLWExNmItMGYwNzI4NWM3YjQ2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR4,0,45,67_AL_.jpg",Одержимість,2023,5.1
6,"https://m.media-amazon.com/images/M/MV5BYzE2MzRiMmYtYWEwZC00ZmQ0LWIyY2EtM2Q0ZmJlZjEyZDZlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Людина з Флориди,2023,6.8
7,"https://m.media-amazon.com/images/M/MV5BYzRjZWQ5YzAtY2Q1Ny00MmY0LWFmMmItNjEzNGEwNDdjYWExXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Зоряний шлях: Пікар,2020,7.4
8,"https://m.media-amazon.com/images/M/MV5BOGI4NjI2YzMtMWYzNS00OTI4LTkwM2MtZTEzNDU2MDhhNTY0XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UX45_CR0,0,45,67_AL_.jpg",Бути присяжним,2023,8.5
9,"https://m.media-amazon.com/images/M/MV5BNDY5NzNlMWItMmFiYy00NjU1LWFhYTAtOWNhYjI2NDViNTZmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Баррі,2018,8.4
10,"https://m.media-amazon.com/images/M/MV5BOWFjODRhMDktMTE3My00ODQzLThmODctYmM2ZmU5YmY0ZGVkXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX45_CR0,0,45,67_AL_.jpg",Дивовижна місіс Мейзел,2017,8.7
11,"https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_UX45_CR0,0,45,67_AL_.jpg",Останнє Королівство,2015,8.5
12,"https://m.media-amazon.com/images/M/MV5BMTkzYTBkYmItN2Q0Zi00ODhiLWI3MzEtNDdiNDRkNWYzOTMyXkEyXkFqcGdeQXVyMTUyMTgzNjY4._V1_UX45_CR0,0,45,67_AL_.jpg",Шершні,2021,7.9
13,"https://m.media-amazon.com/images/M/MV5BM2Y5YTFjMjEtM2Q0OS00NzhlLWFmYjQtZjczYzQ2NDI0NTRjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY67_CR0,0,45,67_AL_.jpg",The Diplomat,2023,8.2
14,"https://m.media-amazon.com/images/M/MV5BZGUzYTI3M2EtZmM0Yy00NGUyLWI4ODEtN2Q3ZGJlYzhhZjU3XkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Останні з нас,2023,8.8
15,"https://m.media-amazon.com/images/M/MV5BZTEzZjA2MGMtN2E3NC00NGFkLTlkMjItOTU2ZmRkM2FlNmYzXkEyXkFqcGdeQXVyMTA3MTI2ODc5._V1_UX45_CR0,0,45,67_AL_.jpg","Останнє, що він сказав мені",2023,6.9
16,"https://m.media-amazon.com/images/M/MV5BZDRlMmU2MGItMjRkZC00MDI0LWE4ZWItMzBjNDQ4MTNkOTA2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_UY67_CR0,0,45,67_AL_.jpg",The Penguin,2024,0.0
17,"https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UY67_CR2,0,45,67_AL_.jpg",Гра престолів,2011,9.2
18,"https://m.media-amazon.com/images/M/MV5BODNiNWQxMmMtMjIwNC00NDU2LTgwYzctNTI1ZDcyODBjZTNiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Fubar,2023,0.0
19,"https://m.media-amazon.com/images/M/MV5BNjdkZTUyMTQtMzllMy00NTc1LTkzYzYtOTgzMGUzMThkMGM5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Місіс Девіс,2023,7.2
20,"https://m.media-amazon.com/images/M/MV5BZTdhMjJmMTgtNTc1ZC00MjEyLWFlOWItMGRkOTA2NDVjZmEwXkEyXkFqcGdeQXVyMTk1NTU4NjM@._V1_UX45_CR0,0,45,67_AL_.jpg",The Diplomat,2023,6.6
21,"https://m.media-amazon.com/images/M/MV5BOGFiZjU5NGEtNTAwNS00ZjI2LTg0YTktNjg0ODFlM2E0NGVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX45_CR0,0,45,67_AL_.jpg",Єллоустоун,2018,8.7
22,"https://m.media-amazon.com/images/M/MV5BMmRlYmE0Y2UtNDk2Yi00NzczLWEwZTEtZmE2OTcyYzcxYmU5XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_UY67_CR1,0,45,67_AL_.jpg",Справжній детектив,2014,8.9
23,"https://m.media-amazon.com/images/M/MV5BZDA4YmE0OTYtMmRmNS00Mzk2LTlhM2MtNjk4NzBjZGE1MmIyXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX45_CR0,0,45,67_AL_.jpg",Краще подзвоніть Солу,2015,8.9
24,"https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX45_CR0,0,45,67_AL_.jpg",Пуститися берега,2008,9.5
25,"https://m.media-amazon.com/images/M/MV5BZmU5NTcwNjktODIwMi00ZmZkLTk4ZWUtYzVjZWQ5ZTZjN2RlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX45_CR0,0,45,67_AL_.jpg",І мертві підуть,2010,8.1
26,"https://m.media-amazon.com/images/M/MV5BOTY5OWFmMzAtZTIxYi00NGM4LTk3YWMtY2MyYzMwOWVhZWM0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR4,0,45,67_AL_.jpg",Новобранець,2018,8.0
27,"https://m.media-amazon.com/images/M/MV5BYWJhYWQ4NzUtMjEyYy00NGYxLTgyNzctMTRhMTQ4YTVlNTBjXkEyXkFqcGdeQXVyMTMwMzY2NDAx._V1_UY67_CR0,0,45,67_AL_.jpg",Rabbit Hole,2023,7.6
28,"https://m.media-amazon.com/images/M/MV5BODA2Mjk0N2MtNGY0Mi00ZWFjLTkxODEtZDFjNDg4ZDliMGVmXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg",Анатомія Грей,2005,7.6
29,"https://m.media-amazon.com/images/M/MV5BYzA3ZjQ4YTItNjRhYS00YzRkLTg4NTEtMTYyOGZjNDFmYWM5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Асока,2023,0.0
30,"https://m.media-amazon.com/images/M/MV5BNDdkY2EwNTgtYTljYy00YmRiLWFiNWItMTZhZDdlMWM2MGY2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY67_CR0,0,45,67_AL_.jpg",Daisy Jones & The Six,2023,8.1
31,"https://m.media-amazon.com/images/M/MV5BYjdjNzBmYjEtM2Y5My00YjI0LWJjY2YtOGQ4MjNkNmE2MDVjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Білий лотос,2021,7.9
32,"https://m.media-amazon.com/images/M/MV5BNTNlNDUyMGYtMzA2ZS00YjkyLWJmNjgtNjdiNzUzYmU3MTVkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Dead Ringers,2023,6.4
33,"https://m.media-amazon.com/images/M/MV5BYzhjMDIwOTgtYmMwNC00ZDIyLWJiMzUtMDM0YTY3M2VmOWNiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX45_CR0,0,45,67_AL_.jpg",Правдива терапія,2023,8.0
34,"https://m.media-amazon.com/images/M/MV5BMTU1OTdjYTUtMzA2MS00Njg4LWI1NTctMWUzYzNkNmQ5YWY3XkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Чорний список,2013,8.0
35,"https://m.media-amazon.com/images/M/MV5BZDg3MGNhYjItZGU2Yi00MzU4LWE4NGUtYjA2OTVjNGUyMjE4XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg",Юний Шелдон,2017,7.6
36,"https://m.media-amazon.com/images/M/MV5BZDgxNjQ2MjMtMjk2Yi00M2Q2LWI0ZDktOGM1NWI5YWUzMjk4XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_UX45_CR0,0,45,67_AL_.jpg",Безсоромні,2011,8.6
37,"https://m.media-amazon.com/images/M/MV5BZDQxNTcyNTgtZTdlMC00NmRiLTllNDYtZmQyODkwNzU2OTMzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg",Перрі Мейсон,2020,7.6
38,"https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR4,0,45,67_AL_.jpg",Дивні дива,2016,8.7
39,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX45_CR0,0,45,67_AL_.jpg",Офіс,2005,9.0
40,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR4,0,45,67_AL_.jpg",Хлопаки,2019,8.7
41,"https://m.media-amazon.com/images/M/MV5BNzRmZWJhNjUtY2ZkYy00N2MyLWJmNTktOTAwY2VkODVmOGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX45_CR0,0,45,67_AL_.jpg",Надприродне,2005,8.4
42,"https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",Клан Сопрано,1999,9.2
43,"https://m.media-amazon.com/images/M/MV5BYTIxNjk3YjItYmYzMC00ZTdmLTk0NGUtZmNlZTA0NWFkZDMwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX45_CR0,0,45,67_AL_.jpg","Клинок, який знищує демонів",2019,8.7
44,"https://m.media-amazon.com/images/M/MV5BODY0MmIyYTEtMTIxNy00ZTNiLWEwNjEtZTBhNDI0OTE2NjljXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_UX45_CR0,0,45,67_AL_.jpg",The Hunt for Raoul Moat,2023,7.0
45,"https://m.media-amazon.com/images/M/MV5BYmNkN2RlMzktMDgzNi00OWRmLWI3N2ItYzU5ZGUyMzc3MjJhXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg",Закон і порядок: Спеціальний корпус,1999,8.1
46,"https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_UY67_CR2,0,45,67_AL_.jpg",Атака титанів,2013,9.1
47,"https://m.media-amazon.com/images/M/MV5BOTY0ZjliOGUtMDFiZS00YzcwLWFiZWYtMzg4MWZkMWIwYzYwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Тінь і кістка,2021,7.6
48,"https://m.media-amazon.com/images/M/MV5BNGZjZDc3NjAtYjI1OC00NWUzLWIxOWItNzUyODc5NDIwMWRjXkEyXkFqcGdeQXVyNTQ4ODA2NzQ@._V1_UY67_CR4,0,45,67_AL_.jpg",Ти,2018,7.7
49,"https://m.media-amazon.com/images/M/MV5BYjVlMjZhYzYtOGQxNC00OTQxLTk2NzEtMWFmMmNhODA4YjYzXkEyXkFqcGdeQXVyNjQ3MDgwNjY@._V1_UX45_CR0,0,45,67_AL_.jpg",Морська поліція,2003,7.8
50,"https://m.media-amazon.com/images/M/MV5BNjY4MTE3MWYtYzU3YS00Y2UxLTk2NDMtMjJlODk2MzBmOTdiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Титани,2018,7.5
51,"https://m.media-amazon.com/images/M/MV5BZWVjZWUyMzUtMGRiMS00MzhkLWI5NTQtYjBmZWVlZThjZjFkXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX45_CR0,0,45,67_AL_.jpg",Мислити як злочинець,2005,8.1
52,"https://m.media-amazon.com/images/M/MV5BNzRhNWIxYTEtYjc2NS00YWFlLWFhOGEtMDZiMWM1M2RkNDkyXkEyXkFqcGdeQXVyNjc0MjkzNjc@._V1_UX45_CR0,0,45,67_AL_.jpg",Американська сімейка,2009,8.5
53,"https://m.media-amazon.com/images/M/MV5BYzVjNTRhNWItMzQzZS00MDBkLWIxNDMtOTU4MzRmMmNiZWRiXkEyXkFqcGdeQXVyMTUwMzE3NjY0._V1_UX45_CR0,0,45,67_AL_.jpg",Snowfall,2017,8.3
54,"https://m.media-amazon.com/images/M/MV5BNDQxOGI4ZjItM2NhZC00Y2FhLWEwZTAtZTc2MmJmNzY1MjViXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY67_CR0,0,45,67_AL_.jpg",Ззовні,2022,7.6
55,"https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY67_CR0,0,45,67_AL_.jpg",Костюми,2011,8.4
56,"https://m.media-amazon.com/images/M/MV5BZjU5OGI4NjMtZDlmNy00YzBiLWEzMTgtYWU0MDBlOTdkYjM3XkEyXkFqcGdeQXVyMTYyMTg2OTY0._V1_UY67_CR4,0,45,67_AL_.jpg",За океан,2023,6.5
57,"https://m.media-amazon.com/images/M/MV5BZjNhODYzZGItZWQ3Ny00ZjViLTkxMTUtM2EzN2RjYjU2OGZiXkEyXkFqcGdeQXVyMTI5MTc0OTIy._V1_UX45_CR0,0,45,67_AL_.jpg",Південний Парк,1997,8.7
58,"https://m.media-amazon.com/images/M/MV5BZWZhNGJjMGUtYmVhZi00NDFiLWE2NWMtYjE1OGZmNGMxNDk4XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg",1923,2022,8.4
59,"https://m.media-amazon.com/images/M/MV5BYjYxYzQ3YWQtYzc0ZS00YjcyLWJiZWYtMmVmYjc1ZjcwYTZkXkEyXkFqcGdeQXVyOTMyODgwOTQ@._V1_UX45_CR0,0,45,67_AL_.jpg",Blue Lights,2023,8.2
60,"https://m.media-amazon.com/images/M/MV5BZjYzZDgzMmYtYjY5Zi00YTk1LThhMDYtNjFlNzM4MTZhYzgyXkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_UY67_CR4,0,45,67_AL_.jpg",Гострі Картузи,2013,8.8
61,"https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg",Друзі,1994,8.9
62,"https://m.media-amazon.com/images/M/MV5BY2FmZTY5YTktOWRlYy00NmIyLWE0ZmQtZDg2YjlmMzczZDZiXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg",Теорія великого вибуху,2007,8.2
63,"https://m.media-amazon.com/images/M/MV5BMzg3ODVjZTYtZTAyNC00MzVjLTk3NmUtMGI4ZjZmNGQ1NmY4XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY67_CR0,0,45,67_AL_.jpg",У Філадельфії завжди сонячно,2005,8.8
64,"https://m.media-amazon.com/images/M/MV5BZGQzODIyNWItZTVmZS00OWJjLThkOTItNjMzNmI4MDU1ZTkzXkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UY67_CR0,0,45,67_AL_.jpg",Сила,2023,6.1
65,"https://m.media-amazon.com/images/M/MV5BNTY1ZTYzN2ItNzQ4NS00ZmM1LWEzODEtMTM1YzNmNThmY2MxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",The Continental: From the World of John Wick,2023,0.0
66,"https://m.media-amazon.com/images/M/MV5BM2ZmMjEyZmYtOGM4YS00YTNhLWE3ZDMtNzQxM2RhNjBlODIyXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR0,0,45,67_AL_.jpg",Венздей,2022,8.1
67,"https://m.media-amazon.com/images/M/MV5BZDZjZDA5YjUtZDVjYS00YWI4LTlhZTctYTZkMjg5YTQ1MGM0XkEyXkFqcGdeQXVyMTU5OTc2NTk@._V1_UY67_CR4,0,45,67_AL_.jpg",Tiny Beautiful Things,2023,7.2
68,"https://m.media-amazon.com/images/M/MV5BMTY1MWUwYjItY2JmYi00ZDgyLTgzMjUtNzNkMzg0NjNjYTdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR1,0,45,67_AL_.jpg",Початкова школа «Ебботт»,2021,8.2
69,"https://m.media-amazon.com/images/M/MV5BNDgxNTIyZTMtMzYxNi00NmRjLWFiMTEtM2U4MTFmODkzNzM1XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY67_CR0,0,45,67_AL_.jpg",Андор,2022,8.4
70,"https://m.media-amazon.com/images/M/MV5BY2NlYjZiYjItNTljNy00MzU2LWJkYmMtMjNkMWVjYmYwMzExXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Секс/Життя,2021,5.5
71,"https://m.media-amazon.com/images/M/MV5BOGRhYmU2YWEtNThlMi00ZmQ4LWFiYTQtYjM0NDM3YTRlZmUxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Любов і смерть,2023,7.7
72,"https://m.media-amazon.com/images/M/MV5BMTViMDJlYzEtOTUxNi00ZTU5LWI5MTYtMGViNTQ4NTVkYTMyXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg",Хороший лікар,2017,8.0
73,"https://m.media-amazon.com/images/M/MV5BNjUzZjdhZGMtNjRiNi00MzM0LTg5Y2EtM2E2ZTRhMWViMDhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UY67_CR0,0,45,67_AL_.jpg",Цитадель,2023,6.5
74,"https://m.media-amazon.com/images/M/MV5BMjkwZjcwMGQtNDAzOC00YjJiLThiYTgtNWU3ZjRiZmY2YzEzXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX45_CR0,0,45,67_AL_.jpg",Поділ,2022,8.7
75,"https://m.media-amazon.com/images/M/MV5BNjRkOWI3NzAtNzE1OC00YTAyLWJiZDgtZThiNjNlYzU2MzU2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Правдива брехня,2023,5.1
76,"https://m.media-amazon.com/images/M/MV5BOWFhYjE4NzMtOWJmZi00NzEyLTg5NTctYmIxMTU1ZDIxMDAyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY67_CR1,0,45,67_AL_.jpg",Зоряний шлях: Наступне покоління,1987,8.7
77,"https://m.media-amazon.com/images/M/MV5BZjlkM2RjODgtNjRlYS00MDNjLTkxMzYtOWM4NjAwZTY2MjZiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR4,0,45,67_AL_.jpg",Флеш,2014,7.5
78,"https://m.media-amazon.com/images/M/MV5BN2Q4MzMwYjUtNGM3NC00NGU3LTgxY2YtMjJiNDFiOGU4MmNjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Шміґадун!,2021,7.3
79,"https://m.media-amazon.com/images/M/MV5BODk4ZjU0NDUtYjdlOS00OTljLTgwZTUtYjkyZjk1NzExZGIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX45_CR0,0,45,67_AL_.jpg",Вікінги,2013,8.5
80,"https://m.media-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_UX45_CR0,0,45,67_AL_.jpg",Кістки,2005,7.8
81,"https://m.media-amazon.com/images/M/MV5BNTYxYjIwZmUtMjZlNC00ZmRhLTk1ZjYtNThkN2MxNGNjY2Q3XkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_UY67_CR0,0,45,67_AL_.jpg",9-1-1,2018,7.8
82,"https://m.media-amazon.com/images/M/MV5BZjBiOGIyY2YtOTA3OC00YzY1LThkYjktMGRkYTNhNTExY2I2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Дім Дракона,2022,8.5
83,"https://m.media-amazon.com/images/M/MV5BZWIxYzViMjktODdlZi00NTViLThkYjMtOTlmNDdiYmM0ZWQ3XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY67_CR1,0,45,67_AL_.jpg",All the Light We Cannot See,2023,0.0
84,"https://m.media-amazon.com/images/M/MV5BNTI3YzhhYmItZTViNC00NmE5LTgzOGQtNmZkOThkZmYwZDY0XkEyXkFqcGdeQXVyMTUzOTcyODA5._V1_UX45_CR0,0,45,67_AL_.jpg",Will Trent,2023,7.6
85,"https://m.media-amazon.com/images/M/MV5BNTllYzFhMjAtZjExNS00MjM4LWE5YmMtOGFiZGRlOTU5YzJiXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX45_CR0,0,45,67_AL_.jpg",The Wire,2002,9.3
86,"https://m.media-amazon.com/images/M/MV5BZjNhNTI0ZTItNTJlMC00ZDI3LWEzNmYtYWFlODUwYjYxNGU3XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UY67_CR0,0,45,67_AL_.jpg",9-1-1: Lone Star,2020,7.1
87,"https://m.media-amazon.com/images/M/MV5BMDA4NjQzN2ItZDhhNC00ZjVlLWFjNTgtMTEyNDQyOGNjMDE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg",Доктор Хаус,2004,8.7
88,"https://m.media-amazon.com/images/M/MV5BOTY0YjViYmEtZDY1Ny00MDU0LThmMjYtZDBjODM4NDJiNjUyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UY67_CR0,0,45,67_AL_.jpg",Grease: Rise of the Pink Ladies,2023,5.0
89,"https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Чорне дзеркало,2011,8.8
90,"https://m.media-amazon.com/images/M/MV5BMjAyZjA1N2MtMTkwYy00MjljLWE5YjUtZmFhYjk3NWQwOTgxXkEyXkFqcGdeQXVyMTUyMTgzNjY4._V1_UX45_CR0,0,45,67_AL_.jpg",Waco: The Aftermath,2023,6.9
91,"https://m.media-amazon.com/images/M/MV5BOWFlOWE1OGEtOTVlMi00M2JmLWJlMGEtOWVjOGFhOTNlYTZiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Американська історія жаху,2011,8.0
92,"https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",Доктор Хто,2005,8.6
93,"https://m.media-amazon.com/images/M/MV5BY2Y4ZjNhZDctZjA3YS00YjVjLWIzNjktMjdlOTZkYzMyNjYwXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY67_CR4,0,45,67_AL_.jpg",Dave,2020,8.3
94,"https://m.media-amazon.com/images/M/MV5BMDMzZDkyNzEtYTY5Ni00NzlhLWI4MzUtY2UzNjNmMjI1YzIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Ейфорія,2019,8.3
95,"https://m.media-amazon.com/images/M/MV5BOGQ3ZjhhYzEtNjczZi00YTlhLThlNzctNWU4NTBhMzYxNzg4XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UX45_CR0,0,45,67_AL_.jpg",School Spirits,2023,7.6
96,"https://m.media-amazon.com/images/M/MV5BMjA5MmM5NjEtYjY2Yy00MzVmLThkMTYtYzcxMGE5MGFjMDQ2XkEyXkFqcGdeQXVyNDQ3NDM5OQ@@._V1_UY67_CR5,0,45,67_AL_.jpg",Суто англійські вбивства,1997,7.9
97,"https://m.media-amazon.com/images/M/MV5BMjMzMTBjMzAtNDE1Zi00YzViLTg1NzgtMzZiMTdhZDExMTgyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX45_CR0,0,45,67_AL_.jpg",Щасливчик Генк,2023,6.8
98,"https://m.media-amazon.com/images/M/MV5BZWFlNzRmOTItZjY1Ni00ZjZkLTk5MDgtOGFhOTYzNWFhYzhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Зоряні війни: Війни клонів,2008,8.4
99,"https://m.media-amazon.com/images/M/MV5BNzhlY2E5NDUtYjJjYy00ODg3LWFkZWQtYTVmMzU4ZWZmOWJkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg",Загублені,2004,8.3
